Cover_Thickness_mm,Reinforcement_Diameter_mm,Water_Cement_Ratio,Temperature_K,Relative_Humidity_pct,Chloride_Ion_Content_kgm3,Time_Years,Corrosion_Rate_uAcm2
51,16,0.45,299,70,0.31,0.9,0.72
51,16,0.45,300,70,0.31,0.9,0.09
51,16,0.42,299,70,0.63,0.9,0.094
51,16,0.42,300,70,0.63,0.9,0.104
51,16,0.42,301,70,0.63,0.9,0.117
51,16,0.42,299,70,0.78,0.9,0.108
51,16,0.42,300,70,0.78,0.9,0.147
51,16,0.42,300,70,0.81,0.9,0.173
51,16,0.41,300,70,1.43,0.9,0.112
51,16,0.41,300,70,1.43,0.9,0.137
51,16,0.41,300,70,1.43,0.9,0.161
51,16,0.44,299,70,2.45,0.9,0.181
51,16,0.44,299,70,2.45,0.9,0.243
51,16,0.44,300,70,2.45,0.9,0.287
51,16,0.45,290,70,0.31,1.0,0.055
51,16,0.45,289,70,0.31,1.0,0.064
51,16,0.42,291,70,0.63,0.9,0.065
51,16,0.42,291,70,0.63,0.9,0.071
51,16,0.42,291,70,0.63,0.9,0.075
51,16,0.42,282,70,0.78,1.0,0.111
51,16,0.42,280,70,0.78,1.0,0.076
51,16,0.42,280,70,0.78,1.0,0.085
51,16,0.42,280,70,0.78,1.0,0.085
51,16,0.42,280,70,0.78,1.0,0.085
51,16,0.42,288,70,0.78,1.0,0.085
51,16,0.41,295,70,1.43,1.0,0.083
51,16,0.41,296,70,1.43,1.0,0.085
51,16,0.41,295,70,1.43,1.0,0.093
51,16,0.44,306,70,2.45,1.0,0.21
51,16,0.44,306,70,2.45,1.0,0.216
51,16,0.44,306,70,2.45,1.0,0.247
70,16,0.45,290,63,0.31,1.0,0.052
70,16,0.45,290,63,0.31,1.0,0.06
70,16,0.42,285,63,0.36,0.9,0.05
70,16,0.42,286,63,0.36,0.9,0.055
70,16,0.42,286,63,0.36,0.9,0.057
70,16,0.42,288,63,0.78,0.9,0.065
70,16,0.42,289,63,0.78,0.9,0.066
70,16,0.42,288,63,0.78,0.9,0.072
70,16,0.41,292,63,1.43,1.0,0.073
70,16,0.41,292,62,1.43,1.0,0.084
70,16,0.41,292,63,1.43,1.0,0.094
70,16,0.44,292,75,2.45,0.9,0.129
70,16,0.44,292,75,2.45,0.9,0.146
70,16,0.44,292,75,2.45,0.9,0.151
70,16,0.43,293,75,4.92,1.0,0.254
70,16,0.43,293,75,4.92,1.0,0.272
70,16,0.43,293,75,4.92,1.0,0.272
50,20,0.4,293,80,4.14,0.35,0.485
50,20,0.4,303,80,4.14,0.35,0.51
50,20,0.4,313,80,4.14,0.35,0.47
50,20,0.4,293,80,4.97,0.35,0.308
50,20,0.4,303,80,4.97,0.35,0.301
50,20,0.4,313,80,4.97,0.35,0.313
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,6.62,0.35,0.335
50,20,0.4,303,80,6.62,0.35,0.38
50,20,0.4,313,80,6.62,0.35,0.37
50,20,0.3,293,80,5.8,0.35,0.348
50,20,0.3,303,80,5.8,0.35,0.355
50,20,0.3,313,80,5.8,0.35,0.34
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.5,293,80,5.8,0.35,0.313
50,20,0.5,303,80,5.8,0.35,0.209
50,20,0.5,313,80,5.8,0.35,0.37
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.411
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.443
50,20,0.4,303,80,5.8,0.35,0.33
50,20,0.4,313,80,5.8,0.35,0.538
50,20,0.4,293,80,5.8,0.35,0.288
50,20,0.4,303,80,5.8,0.35,0.301
50,20,0.4,313,80,5.8,0.35,0.378
50,20,0.4,293,80,5.8,0.35,0.242
50,20,0.4,303,80,5.8,0.35,0.28
50,20,0.4,313,80,5.8,0.35,0.215
50,20,0.4,293,80,5.8,0.35,0.348
50,20,0.4,303,80,5.8,0.35,0.355
50,20,0.4,313,80,5.8,0.35,0.34
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.145
50,20,0.4,303,80,5.8,0.35,0.275
50,20,0.4,313,80,5.8,0.35,0.37
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.257
50,20,0.4,303,80,5.8,0.35,0.26
50,20,0.4,313,80,5.8,0.35,0.369
50,20,0.4,293,80,5.8,0.35,0.1
50,20,0.4,303,80,5.8,0.35,0.135
50,20,0.4,313,80,5.8,0.35,0.154
50,20,0.4,293,80,2.77,0.35,0.303
50,20,0.4,303,80,2.77,0.35,0.24
50,20,0.4,313,80,2.77,0.35,0.225
50,20,0.4,293,80,4.28,0.35,0.327
50,20,0.4,303,80,4.28,0.35,0.286
50,20,0.4,313,80,4.28,0.35,0.326
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.175
50,20,0.4,303,80,5.8,0.35,0.235
50,20,0.4,313,80,5.8,0.35,0.338
50,20,0.4,293,80,5.8,0.35,0.346
50,20,0.4,303,80,5.8,0.35,0.43
50,20,0.4,313,80,5.8,0.35,0.36
50,25,0.4,293,80,5.8,0.35,0.371
50,25,0.4,303,80,5.8,0.35,0.476
50,25,0.4,313,80,5.8,0.35,0.425
30,20,0.4,293,80,5.8,0.35,0.346
30,20,0.4,303,80,5.8,0.35,0.43
30,20,0.4,313,80,5.8,0.35,0.36
50,20,0.4,293,80,5.8,0.35,0.37
50,20,0.4,303,80,5.8,0.35,0.38
50,20,0.4,313,80,5.8,0.35,0.407
70,20,0.4,293,80,5.8,0.35,0.365
70,20,0.4,303,80,5.8,0.35,0.423
70,20,0.4,313,80,5.8,0.35,0.553
65,20,0.45,287,75,12.25,16.0,0.23
65,20,0.45,287,75,12.25,16.0,0.124
65,20,0.45,287,75,12.25,16.0,0.139
65,20,0.45,287,75,12.25,16.0,0.087
65,20,0.45,287,75,12.25,16.0,0.096
65,20,0.45,287,75,12.25,16.0,0.048
65,20,0.45,287,75,12.25,16.0,0.21
65,20,0.45,287,75,12.25,16.0,0.061
65,20,0.45,287,75,12.25,16.0,0.088
65,20,0.45,287,75,12.25,16.0,0.127
65,20,0.45,287,75,12.25,16.0,0.25
65,20,0.45,287,75,12.25,16.0,0.191
65,20,0.45,287,75,12.25,16.0,0.047
65,20,0.45,287,75,12.25,16.0,0.21
65,20,0.45,287,75,12.25,16.0,0.043
65,20,0.45,287,75,12.25,16.0,0.064
65,20,0.45,287,75,12.25,16.0,0.078
65,20,0.45,287,75,12.25,16.0,0.076
